Lr: 5.000e-06 | Update: 2.182e-01 mean,4.130e-01 std | Epoch: [0][0/2000] | Time 1.869 (1.869) | Data 0.216 (0.216) | Loss 6.4647 (6.4647) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [3 days, 20:40:34]
Lr: 5.500e-05 | Update: 5.899e-03 mean,1.102e-02 std | Epoch: [0][10/2000] | Time 0.138 (0.301) | Data 0.006 (0.024) | Loss 5.8963 (6.5092) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [14:27:01]
Lr: 1.050e-04 | Update: 1.286e-03 mean,2.500e-03 std | Epoch: [0][20/2000] | Time 0.147 (0.226) | Data 0.006 (0.015) | Loss 4.8340 (5.9029) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [10:42:28]
Lr: 1.550e-04 | Update: 1.173e-03 mean,2.111e-03 std | Epoch: [0][30/2000] | Time 0.139 (0.197) | Data 0.005 (0.012) | Loss 4.2665 (5.4756) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [9:18:06]
Lr: 2.050e-04 | Update: 8.883e-04 mean,1.586e-03 std | Epoch: [0][40/2000] | Time 0.131 (0.184) | Data 0.005 (0.010) | Loss 4.0730 (5.1132) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [8:37:45]
Lr: 2.550e-04 | Update: 7.282e-04 mean,1.742e-03 std | Epoch: [0][50/2000] | Time 0.138 (0.175) | Data 0.006 (0.009) | Loss 3.3861 (4.7974) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [8:11:50]
Lr: 3.050e-04 | Update: 4.954e-04 mean,1.156e-03 std | Epoch: [0][60/2000] | Time 0.142 (0.169) | Data 0.006 (0.009) | Loss 3.0454 (4.5434) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [7:53:53]
Lr: 3.550e-04 | Update: 4.819e-04 mean,8.694e-04 std | Epoch: [0][70/2000] | Time 0.145 (0.165) | Data 0.005 (0.008) | Loss 2.9232 (4.3249) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [7:41:54]
Lr: 4.050e-04 | Update: 3.181e-04 mean,5.536e-04 std | Epoch: [0][80/2000] | Time 0.141 (0.162) | Data 0.005 (0.008) | Loss 2.8357 (4.1460) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [7:32:45]
Lr: 4.550e-04 | Update: 2.669e-04 mean,4.389e-04 std | Epoch: [0][90/2000] | Time 0.140 (0.160) | Data 0.005 (0.008) | Loss 2.6330 (3.9928) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [7:25:29]
Lr: 5.050e-04 | Update: 2.662e-04 mean,4.431e-04 std | Epoch: [0][100/2000] | Time 0.150 (0.158) | Data 0.006 (0.007) | Loss 2.6055 (3.8649) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [7:21:42]
Lr: 5.550e-04 | Update: 2.157e-04 mean,3.450e-04 std | Epoch: [0][110/2000] | Time 0.138 (0.157) | Data 0.005 (0.007) | Loss 2.5367 (3.7481) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [7:17:09]
Lr: 6.050e-04 | Update: 1.785e-04 mean,3.146e-04 std | Epoch: [0][120/2000] | Time 0.148 (0.156) | Data 0.005 (0.007) | Loss 2.5839 (3.6509) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [7:13:17]
Lr: 6.550e-04 | Update: 2.691e-04 mean,4.537e-04 std | Epoch: [0][130/2000] | Time 0.145 (0.154) | Data 0.005 (0.007) | Loss 2.4683 (3.5671) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [7:09:55]
Lr: 7.050e-04 | Update: 1.795e-04 mean,2.946e-04 std | Epoch: [0][140/2000] | Time 0.148 (0.154) | Data 0.005 (0.007) | Loss 2.5973 (3.4925) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [7:08:05]
Lr: 7.550e-04 | Update: 1.531e-04 mean,2.414e-04 std | Epoch: [0][150/2000] | Time 0.141 (0.153) | Data 0.005 (0.007) | Loss 2.4055 (3.4265) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [7:06:52]
Lr: 8.050e-04 | Update: 2.202e-04 mean,3.531e-04 std | Epoch: [0][160/2000] | Time 0.141 (0.153) | Data 0.005 (0.007) | Loss 2.5472 (3.3681) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [7:05:12]
Lr: 8.550e-04 | Update: 1.481e-04 mean,2.526e-04 std | Epoch: [0][170/2000] | Time 0.151 (0.152) | Data 0.005 (0.007) | Loss 2.2978 (3.3108) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [7:03:49]
Lr: 9.050e-04 | Update: 1.842e-04 mean,3.067e-04 std | Epoch: [0][180/2000] | Time 0.153 (0.152) | Data 0.005 (0.007) | Loss 2.5050 (3.2585) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [7:02:31]
Lr: 9.550e-04 | Update: 1.356e-04 mean,2.209e-04 std | Epoch: [0][190/2000] | Time 0.141 (0.152) | Data 0.006 (0.007) | Loss 2.4780 (3.2114) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [7:00:59]
Lr: 1.005e-03 | Update: 9.878e-05 mean,1.582e-04 std | Epoch: [0][200/2000] | Time 0.142 (0.152) | Data 0.005 (0.006) | Loss 2.4673 (3.1690) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [7:01:08]
Lr: 1.055e-03 | Update: 9.225e-05 mean,1.543e-04 std | Epoch: [0][210/2000] | Time 0.141 (0.151) | Data 0.005 (0.006) | Loss 2.4365 (3.1288) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [7:00:19]
Lr: 1.105e-03 | Update: 2.232e-04 mean,3.558e-04 std | Epoch: [0][220/2000] | Time 0.136 (0.151) | Data 0.006 (0.006) | Loss 2.2416 (3.0926) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:59:25]
Lr: 1.155e-03 | Update: 1.159e-04 mean,1.842e-04 std | Epoch: [0][230/2000] | Time 0.151 (0.151) | Data 0.006 (0.006) | Loss 2.2548 (3.0571) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:58:55]
Lr: 1.205e-03 | Update: 1.788e-04 mean,2.843e-04 std | Epoch: [0][240/2000] | Time 0.162 (0.151) | Data 0.005 (0.006) | Loss 2.3690 (3.0249) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:58:26]
Lr: 1.255e-03 | Update: 1.467e-04 mean,2.509e-04 std | Epoch: [0][250/2000] | Time 0.143 (0.151) | Data 0.006 (0.006) | Loss 2.1509 (2.9926) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:57:40]
Lr: 1.305e-03 | Update: 1.087e-04 mean,1.894e-04 std | Epoch: [0][260/2000] | Time 0.153 (0.150) | Data 0.007 (0.006) | Loss 2.1532 (2.9613) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:56:52]
Lr: 1.355e-03 | Update: 1.717e-04 mean,2.657e-04 std | Epoch: [0][270/2000] | Time 0.148 (0.150) | Data 0.005 (0.006) | Loss 2.0521 (2.9330) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:55:57]
Lr: 1.405e-03 | Update: 7.747e-05 mean,1.234e-04 std | Epoch: [0][280/2000] | Time 0.143 (0.150) | Data 0.006 (0.006) | Loss 2.2084 (2.9047) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:55:33]
Lr: 1.455e-03 | Update: 7.798e-05 mean,1.257e-04 std | Epoch: [0][290/2000] | Time 0.146 (0.150) | Data 0.005 (0.006) | Loss 2.0435 (2.8763) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:55:10]
Lr: 1.505e-03 | Update: 2.281e-04 mean,3.394e-04 std | Epoch: [0][300/2000] | Time 0.135 (0.150) | Data 0.006 (0.006) | Loss 2.1727 (2.8470) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:54:33]
Lr: 1.555e-03 | Update: 1.189e-04 mean,2.057e-04 std | Epoch: [0][310/2000] | Time 0.141 (0.149) | Data 0.005 (0.006) | Loss 1.9518 (2.8169) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:53:48]
Lr: 1.605e-03 | Update: 1.253e-04 mean,1.948e-04 std | Epoch: [0][320/2000] | Time 0.140 (0.149) | Data 0.005 (0.006) | Loss 1.8426 (2.7882) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:53:19]
Lr: 1.655e-03 | Update: 1.571e-04 mean,2.467e-04 std | Epoch: [0][330/2000] | Time 0.150 (0.149) | Data 0.006 (0.006) | Loss 1.8227 (2.7611) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:53:03]
Lr: 1.705e-03 | Update: 1.850e-04 mean,2.806e-04 std | Epoch: [0][340/2000] | Time 0.148 (0.149) | Data 0.005 (0.006) | Loss 1.7053 (2.7335) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:52:51]
Lr: 1.755e-03 | Update: 2.667e-04 mean,4.060e-04 std | Epoch: [0][350/2000] | Time 0.144 (0.149) | Data 0.006 (0.006) | Loss 1.7267 (2.7061) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:52:20]
Lr: 1.805e-03 | Update: 1.757e-04 mean,2.878e-04 std | Epoch: [0][360/2000] | Time 0.145 (0.149) | Data 0.006 (0.006) | Loss 1.7829 (2.6801) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:52:13]
Lr: 1.855e-03 | Update: 7.706e-04 mean,1.216e-03 std | Epoch: [0][370/2000] | Time 0.136 (0.149) | Data 0.006 (0.006) | Loss 2.0358 (2.6579) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:51:36]
Lr: 1.905e-03 | Update: 4.312e-04 mean,7.183e-04 std | Epoch: [0][380/2000] | Time 0.141 (0.148) | Data 0.006 (0.006) | Loss 1.8625 (2.6360) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:51:07]
Lr: 1.955e-03 | Update: 5.635e-04 mean,8.490e-04 std | Epoch: [0][390/2000] | Time 0.145 (0.148) | Data 0.005 (0.006) | Loss 1.5596 (2.6129) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:50:49]
Lr: 2.005e-03 | Update: 1.593e-04 mean,2.526e-04 std | Epoch: [0][400/2000] | Time 0.140 (0.148) | Data 0.005 (0.006) | Loss 1.6893 (2.5898) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:50:25]
